# Logfile created on 2026-03-18 17:57:41 +0100 by logger.rb/v1.5.3
2026-03-18 17:57:41 +0100: Memory Usage (441520K) : metal2_nofill has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (441520K) : metal2_slit has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (441520K) : metal2_text has 1 polygons
2026-03-18 17:57:41 +0100: Memory Usage (441520K) : metal2_opc has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (441520K) : metal2_noqrc has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (441776K) : metal2_res has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (441776K) : metal2_iprobe has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (441776K) : metal2_diffprb has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (441776K) : baspoly_drw has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442032K) : baspoly_pin has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442032K) : psd_drw has 1179 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442032K) : nldb_drw has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442032K) : digibnd_drw has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442288K) : via1_drw has 7230 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442288K) : backmetal1_drw has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442288K) : backmetal1_pin has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442288K) : backmetal1_mask has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442544K) : backmetal1_filler has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442544K) : backmetal1_nofill has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442544K) : backmetal1_slit has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442544K) : backmetal1_text has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442544K) : backmetal1_opc has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442800K) : backmetal1_noqrc has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442800K) : backmetal1_res has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442800K) : backmetal1_iprobe has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442800K) : backmetal1_diffprb has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (442800K) : backpassiv_drw has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443056K) : res_drw has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443056K) : sram_drw has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443056K) : trans_drw has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443056K) : ind_drw has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443312K) : ind_pin has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443312K) : ind_text has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443312K) : salblock_drw has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443312K) : via2_drw has 3440 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443568K) : metal3_drw has 2016 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443568K) : metal3_pin has 237 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443568K) : metal3_mask has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443824K) : metal3_filler has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443824K) : metal3_nofill has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443824K) : metal3_slit has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443824K) : metal3_text has 235 polygons
2026-03-18 17:57:41 +0100: Memory Usage (443824K) : metal3_opc has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (444080K) : metal3_noqrc has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (444080K) : metal3_res has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (444080K) : metal3_iprobe has 0 polygons
2026-03-18 17:57:41 +0100: Memory Usage (444336K) : metal3_diffprb has 0 polygons
