# Logfile created on 2026-03-19 18:29:27 +0100 by logger.rb/v1.5.3
2026-03-19 18:29:27 +0100: Memory Usage (440952K) : psd_drw has 16 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441080K) : nldb_drw has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441080K) : digibnd_drw has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441080K) : via1_drw has 504 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441208K) : backmetal1_drw has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441208K) : backmetal1_pin has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441336K) : backmetal1_mask has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441336K) : backmetal1_filler has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441464K) : backmetal1_nofill has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441464K) : backmetal1_slit has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441464K) : backmetal1_text has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441592K) : backmetal1_opc has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441592K) : backmetal1_noqrc has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441720K) : backmetal1_res has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441720K) : backmetal1_iprobe has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441848K) : backmetal1_diffprb has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441848K) : backpassiv_drw has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441848K) : res_drw has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441976K) : sram_drw has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (441976K) : trans_drw has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (442104K) : ind_drw has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (442232K) : ind_pin has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (442232K) : ind_text has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (442232K) : salblock_drw has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (442360K) : via2_drw has 60 polygons
2026-03-19 18:29:27 +0100: Memory Usage (442488K) : metal3_drw has 88 polygons
2026-03-19 18:29:27 +0100: Memory Usage (442488K) : metal3_pin has 2 polygons
2026-03-19 18:29:27 +0100: Memory Usage (442616K) : metal3_mask has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (442616K) : metal3_filler has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (442744K) : metal3_nofill has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (442744K) : metal3_slit has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (442872K) : metal3_text has 2 polygons
2026-03-19 18:29:27 +0100: Memory Usage (443000K) : metal3_opc has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (443000K) : metal3_noqrc has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (443128K) : metal3_res has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (443128K) : metal3_iprobe has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (443256K) : metal3_diffprb has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (443256K) : nwell_drw has 4 polygons
2026-03-19 18:29:27 +0100: Memory Usage (443384K) : nwell_pin has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (443384K) : nbulay_drw has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (443512K) : nbulay_pin has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (443512K) : nbulay_block has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (443640K) : emwind_drw has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (443768K) : emwind_opc has 0 polygons
2026-03-19 18:29:27 +0100: Memory Usage (443768K) : deepco_drw has 0 polygons
